,Company,TypeName,Inches,ScreenResolution,Resolution,Cpu,Gpu,GHz,RamGB,MemoryGB,Extra GB,Disk,OpSys,Price,
65,Asus,Ultrabook,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,512,,SSD,Windows 10,1267,
66,HP,Notebook,15.6,1366,768,Intel Core i3 6006U ,AMD Radeon 520,2,4,500,,HDD,Windows 10,280,
67,HP,Notebook,14,1366,768,Intel Celeron Dual Core N3060,Intel HD Graphics 400,1.6,4,32,,SSD,Windows 10,146,
68,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,1024,,HDD,Windows 10,351,
69,Asus,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,12,1024,,HDD,Linux,606,
70,Microsoft,Ultrabook,13.5,2256,1504,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,128,,SSD,Windows 10 S,696,
71,Dell,Ultrabook,13.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,256,,SSD,Windows 10,610,
72,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,256,,SSD,Windows 10,556,
73,MSI,Gaming,17.3,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,128,1024,SSD,Windows 10,700,
74,Acer,Notebook,14,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,8,1024,,HDD,Windows 10,248,
75,Asus,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1024,,HDD,Windows 10,606,
76,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,2048,,HDD,No OS,331,
77,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,128,1024,SSD,Windows 10,546,
78,Acer,Notebook,15.6,1920,1080,Intel Core i3 7130U ,Nvidia GeForce MX130,2.7,4,1024,,HDD,Windows 10,338,
79,HP,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 930MX,1.6,8,128,1024,SSD,Windows 10,624,
80,Dell,Ultrabook,15.6,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,700,
81,Apple,Ultrabook,12,2304,1440,Intel Core i5  ,Intel HD Graphics 615,1.3,8,512,,SSD,macOS,965,
82,HP,Notebook,14,1920,1080,Intel Core i5 8250U ,Intel HD Graphics 620,1.6,8,256,,SSD,Windows 10,549,
83,Lenovo,Notebook,15.6,1920,1080,AMD A6-Series 9220  ,AMD R4 Graphics,2.5,4,128,,SSD,Windows 10,255,
84,Acer,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5,3,4,1024,,HDD,Windows 10,252,
85,Dell,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,128,1024,SSD,Windows 10,862,
86,HP,Ultrabook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce GTX 940MX,1.8,8,256,,SSD,Windows 10,446,
87,HP,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,382,
88,Asus,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,128,1024,SSD,Windows 10,926,
89,Dell,Ultrabook,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,1054,
90,Asus,Gaming,15.6,1920,1080,AMD FX 9830P  ,AMD Radeon RX 560,3,8,1024,,HDD,Windows 10,446,
91,Acer,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,8,1024,,HDD,Windows 10,440,
92,HP,Notebook,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,512,,SSD,Windows 10,765,
93,Dell,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1060,2.5,8,256,,SSD,Windows 10,764,
94,Asus,Ultrabook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,670,
95,Acer,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,541,
96,Dell,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon R5 M430,2.7,8,1024,,HDD,Linux,383,
97,Dell,Notebook,15.6,1920,1080,Intel Core i3 6006U ,AMD Radeon R5 M430,2,4,256,,SSD,Linux,310,
98,Asus,Notebook,15.6,1920,1080,Intel Core i3 7100U ,Nvidia GeForce 920M,2.4,6,256,,SSD,Windows 10,368,
99,HP,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,12,128,1024,SSD,Windows 10,798,
100,HP,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon 530,2.7,8,256,,SSD,Windows 10,459,
101,HP,Notebook,15.6,1920,1080,AMD E-Series E2-9000e  ,AMD Radeon R2,1.5,4,500,,HDD,Windows 10,223,
102,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 520,1.6,8,1024,,HDD,Linux,413,
103,HP,Ultrabook,13.3,1920,1080,Intel Core i7 7500U ,Nvidia GeForce MX150,2.7,8,256,,SSD,Windows 10,715,
104,Microsoft,Ultrabook,13.5,2256,1504,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10 S,856,
105,HP,Notebook,14,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,6,256,,SSD,Windows 10,421,
106,Lenovo,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,265,
107,Asus,Ultrabook,14,1920,1080,Intel Core i7 7500U ,Nvidia GeForce 940MX,2.7,8,256,,SSD,Windows 10,762,
108,MSI,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,256,1024,SSD,Windows 10,830,
109,Lenovo,Notebook,14,1920,1080,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,256,,SSD,Windows 10,946,
110,Asus,Ultrabook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,16,256,1024,SSD,Windows 10,806,
111,Dell,Ultrabook,13.3,3200,1800,Intel Core i7 7560U ,Intel Iris Plus Graphics 640,2.4,8,256,,SSD,Windows 10,881,
112,Lenovo,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,894,
113,HP,Notebook,14,1366,768,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,4,500,,HDD,Windows 10,461,
114,Dell,Ultrabook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,1041,
115,HP,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,894,
116,HP,Notebook,14,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,512,,SSD,Windows 10,693,
117,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 940MX,1.8,8,256,1024,SSD,Windows 10,722,
118,Asus,Notebook,17.3,1920,1080,Intel Core i3 6006U ,Nvidia GeForce 920MX,2,4,1024,,HDD,Windows 10,360,
119,Asus,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 940MX,1.8,8,256,,SSD,Windows 10,714,
120,Acer,Notebook,15.6,1920,1080,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,6,1024,,HDD,Windows 10,306,
121,MSI,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,256,2048,SSD,Windows 10,1433,
122,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,256,,SSD,No OS,402,
123,HP,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 930MX ,1.8,16,512,,SSD,Windows 10,812,
124,Acer,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5,3,4,256,,SSD,Windows 10,288,
125,HP,Notebook,15.6,1366,768,Intel Celeron Dual Core N3060,Intel HD Graphics 400,1.6,4,500,,HDD,No OS,165,
126,HP,Notebook,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,1024,,HDD,Windows 10,519,
127,Asus,Notebook,14,1366,768,AMD E-Series 6110  ,AMD Radeon R2,1.5,4,64,,SSD,Windows 10 S,177,
128,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,16,256,2048,SSD,Windows 10,892,
129,HP,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,593,
130,Dell,Notebook,15.6,1366,768,Intel Core i5 7200U ,AMD Radeon R7 M445,2.5,8,1024,,HDD,Windows 10,408,
131,Dell,Notebook,15.6,1920,1080,Intel Core i3 6006U ,AMD Radeon R5 M430,2,4,1024,,HDD,Windows 10,287,
132,Acer,Ultrabook,14,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,565,
133,Acer,Notebook,15.6,1920,1080,Intel Core i3 7130U ,Nvidia GeForce MX130,2.7,4,256,,SSD,Windows 10,365,
134,HP,Notebook,15.6,1366,768,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,8,1024,,HDD,Windows 10,382,
135,HP,Notebook,14,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,631,
136,Lenovo,Notebook,15.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,1024,,HDD,No OS,161,
137,Asus,Gaming,17.3,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,128,1024,SSD,Windows 10,599,
138,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Nvidia GeForce 920MX,2.5,4,1024,,HDD,No OS,319,
139,HP,Notebook,13.3,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,256,,SSD,Windows 10,446,
140,Acer,Notebook,17.3,1920,1080,Intel Core i3 7130U ,Nvidia GeForce MX130,2.7,4,1024,,HDD,Windows 10,418,
141,Lenovo,Notebook,14,1920,1080,Intel Core i5 8250U ,AMD Radeon RX 550,1.6,8,256,,SSD,Windows 10,713,
142,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050M,2.8,8,256,,SSD,No OS,555,
143,Toshiba,Notebook,15.6,1366,768,Intel Core i5 6200U ,Intel HD Graphics 520,2.3,4,500,,HDD,Windows 10,384,
144,HP,Notebook,15.6,1366,768,AMD A6-Series 9220  ,AMD Radeon R4 Graphics,2.5,4,256,,SSD,Windows 10,235,
145,Asus,Ultrabook,14,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,702,
146,HP,Ultrabook,12.5,3840,2160,Intel Core M 6Y75 ,Intel HD Graphics 515,1.2,8,512,,SSD,Windows 10,1287,
147,Asus,Notebook,15.6,1920,1080,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,1024,,HDD,Windows 10,219,
148,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,256,1024,SSD,Windows 10,1297,
149,Acer,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,285,
150,Dell,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,16,512,,SSD,Windows 10,798,
151,Dell,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,1.0TB,,Hybrid,Windows 10,574,
152,Lenovo,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,128,,SSD,Windows 10,318,
153,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,256,1024,SSD,Windows 10,1208,
154,HP,Ultrabook,14,1920,1080,Intel Core i5 7500U ,Intel HD Graphics 620,2.7,4,256,,SSD,Windows 10,691,
155,HP,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 520,1.6,6,256,,SSD,Windows 10,395,
156,Lenovo,2 in 1 Convertible,14,1920,1080,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,256,,SSD,Windows 10,402,
157,Asus,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 8250U ,Intel HD Graphics 620,1.6,8,256,,SSD,Windows 10,840,
158,Dell,2 in 1 Convertible,15.6,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,256,,SSD,Windows 10,670,
159,Toshiba,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2.2,4,500,,HDD,Windows 10,285,
160,Asus,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5 M420,3,4,1024,,HDD,Windows 10,257,
161,Acer,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce MX150,1.6,4,256,,SSD,Windows 10,514,
162,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 520,1.6,8,256,,SSD,Windows 10,465,
163,Lenovo,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050 Ti,2.8,16,256,,SSD,Windows 10,689,
164,Acer,Notebook,15.6,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,1024,,HDD,Windows 10,222,
165,MSI,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,256,1024,SSD,Windows 10,1150,
166,Acer,Notebook,15.6,1366,768,Intel Pentium Quad Core N4200,Intel HD Graphics 505,1.1,4,1024,,HDD,Windows 10,232,
167,Dell,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,8,128,1024,SSD,Windows 10,678,
168,Acer,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce MX150,1.6,8,256,,SSD,Windows 10,546,
169,HP,Notebook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,4,500,,HDD,Windows 10,482,
170,Huawei,Ultrabook,13,2160,1440,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,862,
171,HP,Notebook,17.3,1920,1080,Intel Core i5 7200U ,AMD Radeon 520,2.5,6,2048,,HDD,Windows 10,446,
172,Lenovo,Notebook,15.6,1366,768,AMD A6-Series 9220  ,AMD Radeon R4 Graphics,2.9,4,500,,HDD,No OS,197,
173,Toshiba,Notebook,15.6,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,500,,HDD,Windows 10,312,
174,HP,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 930MX,1.6,8,256,,SSD,Windows 10,590,
175,Dell,Notebook,15.6,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,8,1024,,HDD,Windows 10,293,
176,Acer,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,128,,SSD,Windows 10,287,
177,MSI,Gaming,18.4,1920,1080,Intel Core i7 6920HQ ,Nvidia GTX 980 SLI,2.9,32,512,1024,SSD,Windows 10,1789,
178,Lenovo,Notebook,15.6,1920,1080,Intel Core i5 7200U ,AMD R17M-M1-70,2.5,8,128,1024,SSD,Windows 10,519,
179,HP,2 in 1 Convertible,13.3,3840,2160,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,958,
180,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,16,256,2048,SSD,Linux,670,
181,Dell,Ultrabook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,894,
182,Lenovo,2 in 1 Convertible,13.9,3840,2160,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,512,,SSD,Windows 10,1182,
183,Toshiba,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,128,,SSD,Windows 10,507,
184,Xiaomi,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Nvidia GeForce MX150,1.6,8,256,,SSD,No OS,766,
185,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,Nvidia GeForce 150MX,1.8,16,512,,SSD,Windows 10,990,
186,Dell,Notebook,15.6,3840,2160,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,16,512,,SSD,Windows 10,1532,
187,Lenovo,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,256,,SSD,No OS,498,
188,Acer,Ultrabook,13.3,1920,1080,Intel Core i5 7Y54 ,Intel HD Graphics 615,1.2,8,256,,SSD,Windows 10,632,
189,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,8,128,1024,SSD,Windows 10,693,
190,Lenovo,2 in 1 Convertible,14,2560,1440,Intel Core i7 7500U ,Intel HD Graphics 620,2.7,16,1024,,SSD,Windows 10,1805,
191,Vero,Notebook,14,1920,1080,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,32,,Flash,Windows 10,166,
192,Xiaomi,Ultrabook,13.3,1920,1080,Intel Core i5 7200U ,Nvidia GeForce MX150,2.5,8,256,,SSD,No OS,639,
193,Lenovo,Notebook,17.3,1600,900,Intel Core i5 8250U ,Nvidia GeForce MX150,1.6,8,256,,SSD,No OS,446,
194,Dell,2 in 1 Convertible,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,1024,,HDD,Windows 10,536,
195,HP,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 930MX,1.6,8,1024,,HDD,Windows 10,584,
196,Razer,Gaming,17.3,3840,2160,Intel Core i7 7820HK ,Nvidia GeForce GTX 1080,2.9,32,1024,,SSD,Windows 10,3899,
197,HP,Notebook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,512,,SSD,Windows 10,613,
198,HP,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1050,2.8,16,256,1024,SSD,Windows 10,881,
